SKILL,TASK
Physical Demand,Content/Physical tasks/
Furniture Moving,Content/Physical tasks/
Milling,Content/Physical tasks/
Spot Welding,Content/Physical tasks/
Waste Removal,Content/Physical tasks/
Antenna Installation,Content/Physical tasks/
Working With Patient And/Or Condition: Physical Disability,Content/Physical tasks/Strength
Heavy Lifting,Content/Physical tasks/Strength
Working With Patient And/Or Condition: Bathing,Content/Physical tasks/Strength
Digging Trenches,Content/Physical tasks/Strength
Weeding,Content/Physical tasks/Strength
Typing,Content/Physical tasks/Dexterity
Surgery,Content/Physical tasks/Dexterity
Packaging,Content/Physical tasks/Dexterity
Plumbing,Content/Physical tasks/Dexterity
Welding,Content/Physical tasks/Dexterity
Cash Handling,Content/Physical tasks/Dexterity
Electrical Work,Content/Physical tasks/Dexterity
Repair,Content/Physical tasks/Dexterity
Food Preparation,Content/Physical tasks/Dexterity
Graphic Design,Content/Physical tasks/Dexterity
Painting,Content/Physical tasks/Dexterity
Housekeeping,Content/Physical tasks/Dexterity
Carpentry,Content/Physical tasks/Dexterity
Wiring,Content/Physical tasks/Dexterity
Laundry,Content/Physical tasks/Dexterity
Product Design,Content/Physical tasks/Dexterity
Calibration,Content/Physical tasks/Dexterity
Technical Drawings,Content/Physical tasks/Dexterity
Meal Preparation,Content/Physical tasks/Dexterity
Roofing,Content/Physical tasks/Dexterity
Ironing,Content/Physical tasks/Dexterity
Insulation,Content/Physical tasks/Dexterity
Home Building,Content/Physical tasks/Dexterity
Manual Dexterity,Content/Physical tasks/Dexterity
Masonry,Content/Physical tasks/Dexterity
Framing,Content/Physical tasks/Dexterity
Bed Making and Linen Changes,Content/Physical tasks/Dexterity
Orthopaedic Surgery,Content/Physical tasks/Dexterity
Spray Painting,Content/Physical tasks/Dexterity
Door Installation,Content/Physical tasks/Dexterity
Switchboard Operator,Content/Physical tasks/Dexterity
Basic Carpentry,Content/Physical tasks/Dexterity
Cabinetry,Content/Physical tasks/Dexterity
